Time,ECG Lead1,ECG Lead2,ECG Lead 3,BP1,Heart Beat,Temp 
422,0.410454156,0.23013245,1.330954505,-0.482625483,0.006469727,98.61097284
424,0.438731791,0.235927152,1.320249777,-0.482625483,0.001983643,98.6085643
426,0.401028278,0.224337748,1.321141838,-0.530888031,0,98.60692266
428,0.407026564,0.224337748,1.326494202,-0.579150579,0.001220703,98.60567378
430,0.428449015,0.238410596,1.327386262,-0.530888031,0.00100708,98.60213638
432,0.402742074,0.22102649,1.336306869,-0.530888031,0.006561279,98.60030408
434,0.40874036,0.226821192,1.33719893,-0.530888031,0.003875732,98.59811633
436,0.427592117,0.224337748,1.328278323,-0.530888031,0.00189209,98.60131757
438,0.401885176,0.219370861,1.350579839,-0.530888031,0.002838135,98.59973847
440,0.418166238,0.204470199,1.340767172,-0.579150579,0.003692627,98.60345849
442,0.428449015,0.214403974,1.343443354,-0.482625483,0.000457764,98.60113878
444,0.42159383,0.213576159,1.347011597,-0.579150579,-0.000762939,98.6038931
446,0.410454156,0.206953642,1.355932203,-0.530888031,-0.000946045,98.60498519
448,0.433590403,0.20281457,1.340767172,-0.482625483,0.003234863,98.60016488
450,0.407026564,0.206953642,1.354148082,-0.530888031,0.004364014,98.60217999
452,0.409597258,0.231788079,1.386262266,-0.434362934,0.003295898,98.59733752
454,0.454155955,0.27897351,1.454950937,-0.482625483,0.001983643,98.59917645
456,0.416452442,0.323675497,1.524531668,-0.482625483,0.00112915,98.60295546
458,0.444730077,0.333609272,1.559322034,-0.482625483,0.003601074,98.60227352
460,0.447300771,0.338576159,1.528099911,-0.482625483,0.003234863,98.60358695
462,0.436161097,0.364238411,1.395182872,-0.482625483,0.000457764,98.60444736
464,0.448157669,0.359271523,1.33809099,-0.530888031,0.00177002,98.60172147
466,0.493573265,0.357615894,1.307760928,-0.434362934,0.002166748,98.60456802
468,0.490145673,0.336092715,1.321141838,-0.434362934,0.005126953,98.60244438
470,0.491859469,0.302152318,1.319357716,-0.434362934,0.003051758,98.60668814
472,0.550985433,0.218543046,1.252453167,-0.482625483,0.000640869,98.60467289
474,0.504712939,0.189569536,1.298840321,-0.434362934,0.001586914,98.60503592
476,0.412167952,0.174668874,1.377341659,-0.434362934,0.002075195,98.6033724
478,0.431019709,0.151490066,1.361284567,-0.434362934,0.005981445,98.60074534
480,0.393316195,0.132450331,1.371989295,-0.482625483,0.002532959,98.60119773
482,0.380462725,0.135761589,1.396966994,-0.482625483,0.000183105,98.59727459
484,0.396743787,0.140728477,1.39250669,-0.530888031,0.000823975,98.59364614
486,0.386461011,0.145695364,1.39250669,-0.482625483,0.001312256,98.58959041
488,0.386461011,0.138245033,1.407671722,-0.579150579,0.001525879,98.58769925
490,0.411311054,0.156456954,1.399643176,-0.482625483,0.003112793,98.59082561
492,0.398457584,0.156456954,1.394290812,-0.579150579,0.002471924,98.59096119
494,0.383890317,0.13410596,1.402319358,-0.530888031,0.003112793,98.59462595
496,0.412167952,0.159768212,1.414808207,-0.530888031,0.000183105,98.59943083
498,0.396743787,0.197019868,1.396074933,-0.530888031,0,98.59769735
500,0.273350471,0.390728477,1.884924175,-0.530888031,0.003295898,98.59489352
502,0.269922879,0.530629139,2.497769848,-0.530888031,0.004943848,98.59507576
504,0.623821765,1.287251656,1.305976806,-0.530888031,0.002655029,98.59360582
506,1.245072836,1.861754967,0.080285459,-0.530888031,0.002075195,98.59720059
